county,you,he,she,it,we,they,me,him,her,us,them,mine,yours,his,hers,its,ours,theirs
"tennessee,meigs",19586.1,2252.57,1874.69,12808.75,3513.82,2242.76,10418.76,839.19,1423.19,858.82,1182.72,451.5,112.87,770.49,19.63,490.76,39.26,9.81
"tennessee,monroe",22976.16,2740.21,2066.88,13406.47,4091.68,2617.57,11819.34,985.95,1466.9,809.2,1380.33,434.06,115.43,881.34,9.62,890.96,26.45,18.04
"tennessee,montgomery",20023.51,2865.67,2476.6,12904.69,3588.39,3020.52,12193.09,1093.39,1831.73,692.35,1379.79,301.58,119.78,1036.5,10.69,675.67,12.62,13.05
"tennessee,moore",23583.14,2196,1694.74,11831.35,4431.78,2060.74,11409.66,819.52,1392.39,700.17,1137.78,286.44,71.61,652.43,0,230.74,7.96,7.96
"tennessee,morgan",21646.3,2697.22,2128.3,13626.61,3293.55,2423.04,13019.99,1415.44,3811.06,733.42,2076.89,380.42,95.96,942.48,17.14,753.99,10.28,13.71
"tennessee,obion",21097.26,2582.02,2229.56,12759.06,3919.36,2944.55,12070.25,996.96,1615.28,753.26,1303.1,344.4,128.9,1047.31,14.1,958.69,24.17,8.06
"tennessee,overton",25203.54,3052.11,1848.57,14316.62,3996.07,2501.47,9935.1,1195.67,1439.53,873.16,1392.33,385.45,141.59,983.28,7.87,857.42,31.46,7.87
"tennessee,perry",21423.18,2437.76,1656.09,13738.92,3815.63,2371.52,11022.93,887.66,834.67,1285.13,1192.38,344.47,39.75,1033.4,13.25,900.91,0,13.25
"tennessee,pickett",25196.04,3244.76,1671.54,11946.61,4350.93,2507.31,11528.72,1057,1450.31,712.86,1081.59,270.4,98.33,639.12,0,491.63,49.16,0
"tennessee,polk",22038.09,2579.71,2149.76,13420.63,4029.26,2364.73,11356.87,1007.32,1467.98,718.63,1142.44,362.39,159.7,988.89,0,626.5,12.28,0
"tennessee,putnam",20463.46,2682.78,1720.19,13487.74,4062.85,2508.45,10144.31,1000.26,1318.78,897.78,1209.26,291.39,103.49,1106.77,8.54,508.92,11.55,9.04
"tennessee,rhea",21205.47,2427.49,1915.92,13039.99,4349.92,2329.73,10351.84,817.85,1394.58,974.25,1133.91,325.84,169.44,935.15,6.52,449.65,22.81,6.52
"tennessee,roane",21349.12,2972,2314.34,14195.49,3840.26,2534.83,12098.59,1191.38,1745.64,773.98,1246.12,365.7,133.81,1013.48,15.21,424.25,14.45,9.88
"tennessee,robertson",23651.48,2618.09,2378.13,12766.44,4084.93,2764.68,12257.58,1057.88,1649.84,748.83,1249.29,340.8,106.44,1002.79,11.2,698.41,8.4,9.34
