county,you,he,she,it,we,they,me,him,her,us,them,mine,yours,his,hers,its,ours,theirs
"alabama,autauga",22019.08,2698.73,2326.1,12973.49,3848.43,2823.37,12423.45,1019.34,1621.53,750.35,1346.19,321.13,125.27,996.45,6.36,837.47,17.8,12.72
"alabama,baldwin",21464.65,2471.27,2173.79,12353.6,4102.31,2732.04,12239.23,903.47,1574.81,861.88,1307.67,326.33,118.61,952.48,9.76,631.66,15.06,12.73
"alabama,barbour",19130.86,3369.55,2493.92,12132.32,3878.71,2724.18,12683.64,1303.71,1615.05,716.72,1375.06,272.42,123.24,1332.9,12.97,940.49,12.97,9.73
"alabama,bibb",18698.73,2513.25,2127.05,15910.45,3288.59,3089.64,21554.3,942.1,1676.48,825.07,1398.53,178.47,105.33,886.51,2.93,848.48,17.55,11.7
"alabama,blount",23782.76,2622.67,1978.64,12695.63,4236.46,2504.23,13100.66,1071.28,1559.86,971.87,1196.07,282.36,147,986.67,14.8,739.21,10.57,7.4
"alabama,bullock",20630.41,3735.94,4071.22,13519.93,3030.55,4328.12,11312.33,1371.59,2460.15,518.15,1828.78,134.98,100.15,1145.17,17.42,539.93,8.71,17.42
"alabama,butler",19222.4,2952.58,3253.96,12047.24,3484.43,3448.98,14116.63,1031.47,2085.5,709.13,1374.76,357.79,127.32,1044.36,4.84,705.91,11.28,6.45
"alabama,calhoun",21913.62,2658.18,2787.03,12730.49,3851.17,3026.32,12747.81,963.88,1947.46,699.25,1420.59,327.64,127.33,975.57,12.99,710.51,13.86,11.69
"alabama,chambers",23101.72,2557.53,2806.07,11361.34,3749.08,3071.01,15521.59,891.86,1761.42,619.05,1480.09,287.23,157.39,1043.34,11.8,885.3,13.12,17.05
"alabama,cherokee",15888.32,1506.36,1265.68,8511.36,2531.36,1368.35,8312.76,757.39,942.53,526.81,716.99,235.63,100.98,521.76,5.05,459.48,8.41,0
"alabama,chilton",23601.67,2812.87,2720.07,13565.15,4129.17,2776.6,13026.47,1062.43,1812.31,717.88,1328.03,414.94,137.6,951.49,11.73,674.15,23.47,24.53
"alabama,choctaw",11970.41,2007.04,1704.66,8806.78,2271.62,1700.88,9789.51,805.08,1046.99,275.92,929.81,158.75,71.81,563.18,3.78,1043.21,3.78,3.78
"alabama,clarke",18410.81,2476.06,2604.53,12181.73,3628.44,2542.24,11734.02,953.83,1728.57,689.09,1358.72,319.24,97.33,930.47,15.57,879.86,11.68,7.79
"alabama,clay",20193.72,3054.57,2759.27,12945.9,3725.49,2771.08,12844.32,1202.46,1868.65,592.96,1396.17,377.98,125.21,975.67,16.54,800.85,4.72,7.09
"alabama,cleburne",22278,2569.22,1961.21,12453.23,4115.74,2413.32,12743.2,1362.56,1462.34,791.97,1200.42,324.27,174.61,891.74,9.35,636.07,15.59,15.59
"alabama,coffee",21394.48,3047.55,2078.29,12630.51,3962.72,2957.39,12290.89,1188.67,1399.05,770.9,1378.01,338.12,138.25,1053.42,7.51,888.12,21.04,6.01
"alabama,colbert",23111.22,2879.58,2675.22,12319.02,4312.36,3169.84,13639.22,1031.75,1830.2,752.79,1458.1,374.81,155.53,1001.45,16.28,703.96,15.37,9.95
"alabama,conecuh",19059.39,2577.3,2935.45,11236.19,4810.49,2478.99,11720.75,1032.33,2106.79,842.71,1250.03,294.95,119.39,1004.24,14.04,800.58,14.04,14.04
"alabama,coosa",19782.88,2841.02,3707.66,12250.27,3401.41,3248.28,15778.74,1202.22,2208.96,573.42,1557.35,221.55,133.58,808,3.26,834.06,19.55,0
"alabama,covington",21039.02,2720.31,3380.68,13338.13,3330.59,3222.08,13235.18,816.18,1945.86,595.44,1470.99,325.55,103.88,989.62,12.06,1248.39,10.2,16.7
"alabama,crenshaw",23056.1,2861.67,2541.6,12189.9,4280.3,2698.92,13996.41,1139.24,1779.39,764.92,1375.23,314.65,119.35,1093.13,24.41,1068.72,24.41,8.14
"alabama,cullman",21133.11,2590.89,1612.01,12667.08,4290.03,2231.22,10381.16,939.95,1256.05,971.47,1143.88,306.83,120.51,1099.39,2.78,517.25,26.88,7.42
"alabama,dale",20127.23,2438.11,2529.15,12503.6,3476.96,2878.35,11904.99,905.41,1641.21,648.5,1455.39,274.37,113.49,910.4,9.98,1032.61,8.73,16.21
"alabama,dallas",16367.46,3686.1,3116.95,11536.18,3148.81,3338.24,13904.03,1443.1,2069.93,547.62,1547.28,268.64,136.04,1248.5,13.78,985.03,10.33,10.33
"alabama,de kalb",21898.44,2990.94,1848.74,13016.8,4247.97,2412.07,12325.13,1203,1385.37,771.38,1261.09,367.45,114.15,1012.52,10.13,435.67,13.51,11.48
"alabama,elmore",21608.21,3101.25,2549.47,13135.75,3911.21,3097.44,12469.73,1063.2,1833.94,701.44,1393.35,319.87,109.29,1045.68,15.23,719.33,19.42,12.57
"alabama,escambia",19311.82,3089.23,2975.73,11680.1,3698.21,2878.85,14287.67,1367.45,2174.36,710.02,1457.42,314.18,125.95,1188.91,11.07,809.68,12.46,17.99
"alabama,etowah",19207.58,2831.61,2138.24,12957.19,3886.7,2888.23,11126.56,1103.69,1543.56,742.47,1299.08,270.04,119.24,1685.34,8.52,1212.4,10.02,19.04
"alabama,fayette",21507.84,3278.23,1801.55,12448.41,4570.32,3049.34,11230.15,1557.9,1402.85,1085.36,1425,258.42,132.9,1122.28,36.92,959.84,0,22.15
"alabama,franklin",21380.04,2686.78,1772.91,13207.74,4608.2,2645.66,10546.08,1064.66,1379.95,1007.54,1181.18,322.14,127.94,872.75,4.57,479.78,11.42,0
"alabama,geneva",25607.09,2631.44,2464.12,13187.62,3992.79,2220.75,13069.73,1053.34,1775.84,844.19,1327.13,429.7,148.3,764.33,15.21,787.15,22.82,15.21
"alabama,greene",18564.82,3434.33,3110.34,11507.16,3666.52,3450.53,12986.73,1393.17,1738.76,718.18,1533.57,178.2,97.2,1328.37,16.2,1171.78,21.6,37.8
"alabama,hale",16888.44,4199.36,2913.8,12824.61,3575.94,3366.85,12838.16,1345.58,2218.75,832.51,1655.35,280.73,108.42,1477.23,11.62,724.1,7.74,15.49
"alabama,henry",20307.84,2802.26,2709.77,12281.31,4090.34,3086.6,12730.08,986.62,1880.74,688.58,1459.37,404.24,157.58,1010.6,13.7,876.99,10.28,6.85
"alabama,houston",20894.26,2641.04,2583.83,11961.32,4013,2837.86,11267.99,1003.51,1724.13,936.33,1459.61,300.74,128.59,983.57,9.97,916.39,11.02,12.6
"alabama,jackson",23930.23,2500.06,2252.3,13456.04,4173.61,2393.32,12598.21,946.95,1691.19,752.07,1274.02,433.81,141.01,887.21,11.75,405.42,24.48,12.73
"alabama,jefferson",17698.63,3101.43,2764.15,11674.68,3708.28,3181.28,11546.75,1134.92,1797.64,774.99,1377.03,236.38,105.66,1201.83,10.82,873.53,13.07,10.43
"alabama,lamar",21049.06,2623,1828.15,11908.29,4949.74,2232.8,10687.11,975.5,1351.24,1105.56,1307.89,303.49,115.61,1083.89,7.23,426.33,0,7.23
"alabama,lauderdale",20519.03,2522.92,2248.16,12712.19,3940.1,2792.41,12057.42,908.18,1598.91,762.65,1261.82,381.69,114.12,974.6,8.39,574.69,18.22,9.83
"alabama,lawrence",21187.66,2775.38,2507.04,12387.81,4241.81,2670.82,12348.76,1068.33,1627.69,787.39,1277.46,390.54,163.78,1058.25,10.08,666.45,20.16,10.08
"alabama,lee",19384.53,2499.34,2103.03,12599.88,4110.75,2784.58,10967.96,900.02,1554.49,842.84,1238.37,271.96,117.51,1029.1,9.86,545.51,15.51,12.75
"alabama,limestone",19989.12,2574.88,2500.96,11236.44,3558.56,2731.66,11965.69,881.9,1766.9,735.78,1186.18,1215.41,115.18,955.83,11.35,599.62,14.44,11.35
"alabama,lowndes",21573.65,2366.55,3227.6,13058.29,4030.53,3470.59,12635.69,797.65,2134.12,559.94,1452.68,206.02,174.32,713.13,10.56,771.24,5.28,10.56
"alabama,macon",17216.16,2983.31,3204.57,12082.14,3747.75,3811.72,11215.98,950.04,2112.96,694.18,1651.57,239.08,118.49,1131.45,14.68,822.11,13.63,12.58
"alabama,madison",19085.29,2635.45,2442.58,12388.27,3762.01,3213.96,11164.1,951.28,1671.02,785.56,1385.73,300.7,110.86,998.86,8.04,822.17,14.66,11.16
"alabama,marengo",15239.91,3038.56,2700.94,10536.81,3339.54,3051.64,12389.78,1282.42,1672.38,651.68,1452.54,272.19,99.45,1044.26,18.32,1374.03,7.85,13.09
"alabama,marion",22601.81,2464.35,1808.56,13080,4278.03,2151.82,10910.25,1227.05,1311.59,850.48,1298.78,315.09,153.7,1147.64,10.25,481.6,23.05,17.93
"alabama,marshall",24157.4,2542.69,2092.4,13176.76,4043.25,2530.89,13238.59,898.14,1538.39,783.02,1249.58,384.8,137.49,872.51,11.39,531.24,17.08,12.61
"alabama,mobile",19388.99,3066.77,2973.62,12029.73,3873.81,3169.87,12709.36,1120.11,1997.42,689.28,1457.92,304.28,121.11,1074.93,14.73,868.16,14.87,9.87
"alabama,monroe",20589.44,2291.94,2405.97,11512.91,3565.24,2721.44,13295.53,1022.44,1699,634.75,1660.99,402.89,129.23,1003.44,11.4,744.98,11.4,11.4
"alabama,montgomery",17339.64,3280.18,3000.95,11605.08,3671.18,3437.75,13008.04,1198.54,1891.83,701.95,1548.42,224.03,107.06,1168.8,13.56,1030.02,15.03,8.97
"alabama,morgan",22915.66,2853.04,2694.63,12309.03,3902.93,2843.07,13472.88,1164.65,1820.67,771.05,1349.47,379.6,142.52,1090.03,12.66,886.62,47.15,9.43
"alabama,perry",16253.73,2980.52,3124.69,12693.2,3201.8,3178.33,12424.98,1170.08,2256.34,633.65,1377.95,167.63,103.93,1149.96,10.06,935.39,10.06,20.12
"alabama,pickens",20336.98,4011.99,2767.84,11398.78,3974.21,3903.69,14358.03,1977.03,1631.99,763.11,1604.29,486.07,163.7,1148.44,10.07,1352.44,2.52,22.67
"alabama,pike",19388.38,2370.58,2438.01,12061.36,3894.25,2830.22,11835.56,851.85,1645.55,874.12,1303.45,278.38,116.92,946.5,10.52,712.04,14.85,6.19
"alabama,randolph",22527.68,2682.97,2201.08,12611.68,3797.82,2854.72,12921.81,1056.01,1603.1,653.64,1389.99,294.22,139.95,865.16,4.77,694.99,20.68,11.13
"alabama,russell",19042.76,2908.2,3271.73,11758.08,3463.18,3151.18,12708.25,1074.98,2023.26,598,1616.24,305.85,110.14,1056.54,13.71,1050.87,14.65,10.4
"alabama,shelby",19426.55,2853.16,2102.52,12403.57,4175.89,2834.53,10312.79,1027.98,1488.53,897.61,1297.83,265.4,114.58,1173.94,10.12,670.68,15.38,10.12
"alabama,st clair",22590.59,2654.29,2236.57,12725.94,4391.68,2649.8,12015.29,1011.8,1685.08,732.32,1276.33,294.42,115.08,1007.31,14.2,620.23,18.68,6.72
"alabama,sumter",17062.76,2638.11,3161.61,12437.05,3638.77,2991.69,12322.05,932.01,1738.72,566.41,1421.18,238.58,116.72,923.42,12.02,895.96,10.3,10.3
"alabama,talladega",22178.68,2864.42,2784.78,12641.64,4011.96,3257.94,13171.57,1067.06,1838.87,744.7,1480.92,345.24,135.13,1036.98,13.13,715.47,16.94,13.55
"alabama,tallapoosa",20498.26,2495.72,2620.59,11992.83,3957.06,2905.77,12845.95,953.01,1835.14,801.56,1412.2,289.21,124.06,854.73,16.92,791.09,20.95,8.06
"alabama,tuscaloosa",17511.23,2645.64,2536.11,11916.04,3766.36,2948.3,11357.92,970.38,1746.44,761.13,1252.35,245.08,106.87,1049.41,11.01,810.98,14.52,11.08
"alabama,walker",21385.28,2688.54,2195.46,12946.56,3958.34,2908.13,12391.97,983.61,1556.49,749.27,1334.36,380.74,137.76,934.81,8.13,730.97,16.27,11.18
"alabama,washington",15911.28,3711.41,3236.15,13414.96,3819.2,2961.78,13368.41,1582.55,2016.16,617.34,1347.38,450.76,100.44,1144.04,22.05,739.83,12.25,7.35
"alabama,wilcox",20340.97,2850.24,2071.7,11288.81,3120.75,3034.98,11750.66,1583.47,1471.31,567.41,1425.12,244.12,92.37,1055.65,13.2,1748.41,26.39,0
"alabama,winston",21494.91,2471.27,1374.64,12912.39,3712.06,2430.08,11429.63,1091.48,1122.37,736.23,1194.45,298.61,118.42,931.88,10.3,751.68,15.45,0
"arizona,apache",15937.14,2249.91,1711.45,11480.97,3424.35,2143.68,10484.08,993.98,1437.85,635.97,967.78,309.98,103.33,999.8,5.82,873.19,11.64,8.73
"arizona,cochise",20910.62,2490.49,2235.68,12092.74,3451.57,2538.94,11940.54,1000.41,1557.34,750.17,1168,334.61,125.41,943.41,14.25,829.97,14.82,13.11
"arizona,coconino",18324.48,2092.53,1681.53,12593.1,3680.48,2100.78,10110.18,823.04,1354.21,712.14,1027.1,216.22,92.14,875.6,8.86,620.83,11.54,7.63
"arizona,gila",17072.03,2521.67,1686.05,10114.17,3350.94,2121.84,8330.81,1032.36,1334.88,757.35,1110.63,211.55,143.85,1006.98,21.16,533.1,2.12,42.31
"arizona,graham",20781.18,2338.19,2461.66,13385.79,3367.57,2322.59,12616.36,950.09,1989.87,651.16,1132.05,379.52,133.87,918.9,9.1,872.11,13,36.39
"arizona,greenlee",21387.65,2382.42,1965.5,13395.71,3275.83,2371.59,12437.33,1093.75,1342.82,427.75,1321.16,449.41,140.78,904.24,10.83,1088.33,21.66,108.29
"arizona,la paz",21408.71,2317.95,2262.92,12739.04,3813.62,2115.62,12549.65,880.56,1641.35,636.14,1168.69,449.99,126.26,898.37,8.09,471.04,14.57,16.19
"arizona,maricopa",20222.8,2432.92,2003.35,11950.19,3499.38,2420.66,11225.42,945.28,1550.34,783.45,1167.43,256.14,118.58,1001.9,9.24,767.21,11.69,10.87
"arizona,mohave",21035.34,2110.28,2003.46,11994.52,3554.93,2176.61,10714.93,848.82,1684.52,819.51,1107.2,303.51,123.79,801,9.64,794.06,10.03,10.8
"arizona,navajo",18360.84,2514.4,2098.31,12321.64,3811.7,2239.08,10495.98,1181.47,1682.21,729.73,1112.86,273.54,90.88,940.9,11.58,976.54,9.8,10.69
"arizona,pima",21563.58,2375.27,2023.99,12243.52,3431.68,2318.61,12231.02,1028.63,1543.19,694.33,1127.69,283.69,114.44,914.24,9.11,842.48,10.07,11.55
"arizona,pinal",22299.58,2468.48,2219.7,12154.23,3707.84,2260.87,12890.65,984.99,1658.31,649.11,1216.81,297.09,152.06,924.17,9.93,716.25,10.76,11.79
"arizona,santa cruz",22422.14,2098.93,1878.08,13167.77,3507.05,2192.57,13254.35,943.46,1346.28,636.04,1042.4,310.95,134.28,772.08,8.83,1123.67,26.5,5.3
"arizona,yavapai",21268.06,2228.49,1650.88,12737.4,3777.64,2237.17,11237.44,920.9,1325.91,870.76,1210.19,296.52,124.39,876.06,10.12,727.08,16.39,9.16
"arizona,yuma",22561.33,2374.52,2305.62,13283.83,3617.8,2258.29,13081.09,1011.93,1804.39,650.04,1144.44,316.76,123.93,847.93,10.13,905.38,12.55,11.67
"arkansas,arkansas",17712.73,2056.93,2092.13,11627.44,3444.98,2569.91,10314.83,834.84,1498.69,658.82,1272.38,316.84,100.58,885.13,20.12,764.43,10.06,10.06
"arkansas,ashley",17550.57,3003.8,2817.67,12380.53,3422.57,3048.6,14434.76,1259.77,1952.55,639.36,1313.19,222.31,139.59,1068.47,8.62,1089.16,8.62,10.34
"arkansas,baxter",22664.01,2390.01,1353.56,14240.25,3479.32,1987.76,12223.12,1265.47,1171.52,728.16,1027.65,249.57,126.25,851.48,5.87,1283.09,20.55,5.87
"arkansas,benton",17143.69,1944.96,1511.43,10322.77,3350.98,2084.72,8759.6,785.82,1154.07,752.21,1020.36,219.3,93.09,878.43,8.95,604.24,12.09,8.95
"arkansas,boone",21169.11,2488.84,1430.16,13266.1,4295.11,2163.81,8882.76,928.67,1156.2,872.95,1054.04,292.53,134.66,1063.33,13.93,506.13,18.57,9.29
"arkansas,bradley",21108.64,2456.07,1794.11,13585.75,4225.44,3266.52,12082.41,946.55,1410.54,1057.91,1262.06,340.26,80.43,723.83,12.37,835.19,12.37,18.56
"arkansas,calhoun",23053.81,2954.32,2727.07,14721.11,4292.6,2424.06,12562.18,1085.78,1641.29,782.77,1350.91,378.76,88.38,934.27,0,479.76,25.25,0
"arkansas,carroll",21444.14,2030.51,1744.37,12804.85,4380.17,2080.03,9145.54,935.46,1359.17,907.95,1166.58,269.63,137.57,643.82,16.51,429.21,11.01,16.51
"arkansas,chicot",20888.7,2579.16,3553.26,11059.9,3687.15,3914.9,14382.33,943.33,2211.36,646.33,1678.91,320.09,141.58,898.7,15.39,1255.72,7.69,23.08
"arkansas,clark",21403.78,2345.86,2888.49,13247.27,3947.05,2760.77,11912.95,853.33,1872.5,735.78,1327.33,313.88,133.43,846.34,14.61,643.02,12.07,14.61
"arkansas,clay",21218.88,2587.67,1694.51,14190.44,4549.29,2337.25,10442.49,968.29,1419.04,851.43,1110.19,258.77,191.99,1043.41,8.35,818.04,8.35,8.35
"arkansas,cleburne",22557.74,1936.43,1475.38,12540.71,4217.44,2213.07,10458.68,708.57,1271.54,849.31,1135.65,334.87,97.06,868.73,14.56,320.31,19.41,4.85
"arkansas,cleveland",27137.54,2395.9,2076.45,13752.46,4073.03,2843.13,13081.6,894.47,1421.57,766.69,1086.14,431.26,95.84,718.77,0,750.72,0,31.95
"arkansas,columbia",19055.36,2475.93,2617.88,12802.49,3476.42,2762.86,13702.55,1093.37,1768.41,598.78,1267.79,338.28,110.24,881.94,16.61,878.92,13.59,8.31
"arkansas,conway",20887.76,2105.8,2450.54,13241.24,4423.44,2433.93,12261.02,897.15,1765.22,909.61,1133.89,398.73,124.6,830.69,20.77,693.63,12.46,0
"arkansas,craighead",19356.93,2769.02,1904.26,13207.92,4049.2,2828.04,10516.81,1050.68,1493.86,873.25,1270.92,282.34,106.46,1047.59,8.87,612.51,12.34,9.26
"arkansas,crawford",21281.46,2919.01,1980.52,13553.01,3977.16,2566.74,11421.91,1173.79,1500.51,797.32,1392.95,281.01,100.84,1423.87,5.38,685.72,12.1,6.72
"arkansas,crittenden",19911.63,3501.77,3356.83,11791.42,4004.65,3582.07,13325.91,1384.78,2157.13,715.87,1576,249.74,127.25,1328.3,13.61,905.04,12.25,14.97
"arkansas,cross",24292.78,3280.66,2542.8,12583.43,4285.29,2832.27,13565.36,1390.59,1731.14,811.65,1345.18,329.2,153.25,1169.23,11.35,499.48,11.35,11.35
"arkansas,dallas",22954.29,3315.8,2712.18,12576.9,4680.16,3282.73,12849.77,1256.86,1686.84,1141.1,1546.27,256.33,82.69,1447.05,0,471.32,16.54,0
"arkansas,desha",18136.5,3758.14,3543.25,12683.13,3996.91,3748.59,13237.06,1437.36,1757.3,582.58,1881.46,339.05,90.73,1107.86,14.33,682.86,19.1,23.88
"arkansas,drew",20089.14,2383.32,2957.12,12943.29,3760.44,2934.58,13211.74,932.42,1789.03,668.07,1461.14,325.84,114.76,858.65,4.1,979.56,8.2,8.2
"arkansas,faulkner",19601.14,2340.49,1948.48,12727.72,3874.34,2684.79,10552.24,851.15,1412.61,893.95,1263.08,291.42,126.65,954.44,5.9,491.36,13.28,12.05
"arkansas,franklin",20419.29,2311.08,1586.17,12244.4,4213.05,2067.05,10643.87,739.26,1256.02,753.61,1040.7,322.98,50.24,875.62,7.18,409.1,14.36,0
"arkansas,fulton",19867.97,2050.01,1472.04,13510.22,3901.35,2348.03,10015.26,1020.49,1255.29,686.35,966.31,379.3,63.22,1119.83,0,460.58,18.06,0
"arkansas,garland",19511.55,2307.65,2251.21,11788.03,3861.76,2598.2,10888.17,962.57,1619.95,760.86,1190.4,269.64,117.06,968.84,12.54,758.76,6.27,13.59
"arkansas,grant",23779.98,2772.76,1931.54,13285.77,4093.35,2114.82,11730.2,1043.31,1541.47,855.33,1231.3,361.87,112.79,925.82,14.1,371.27,18.8,28.2
"arkansas,greene",23032.01,2365.91,1930.08,13821.87,4409.39,2457.07,10693.27,880.54,1536.51,965.04,1182.95,344.66,153.43,953.92,13.34,429.15,31.13,13.34
"arkansas,hempstead",18545.7,2761.63,2906.84,12040.96,3158.37,3442.31,13688.86,1245.97,2136.7,560.11,1444.35,325.43,149.1,969.81,20.75,1336.73,9.08,18.15
"arkansas,hot spring",23445.51,2655.02,2744.22,13143.1,4364.35,3031.83,11955.31,993.01,1783.06,872.87,1492.71,358.61,162.92,914.74,12.74,603.45,21.84,19.11
"arkansas,howard",24334.49,2729.08,2837.13,12628.56,3607.37,3177.92,13584.43,1232.93,1806.45,651.1,1432.42,479.32,130.22,1072.24,13.85,1407.48,11.08,27.71
"arkansas,independence",22688.75,2785,1783.35,12423.71,4264.75,2376.21,12151.19,1070.97,1386.52,733.9,1123.56,411.18,133.87,1020.77,11.95,815.18,23.91,11.95
"arkansas,izard",24005.78,2479.39,1609.14,12101.41,3513.84,1904.7,9736.95,689.63,1362.85,673.21,952.35,229.88,147.78,623.95,32.84,706.05,0,0
"arkansas,jackson",21671.79,2491.01,2701.79,13157.64,3857.87,2810.37,12512.53,887.82,1705.38,760.08,1424.35,364.07,172.46,887.82,6.39,1124.15,12.77,12.77
"arkansas,jefferson",18952.33,3446.73,3311.6,11921.98,3267.72,3529.8,13410.77,1227.88,2045.69,611.31,1518.62,236.92,121.68,1102.7,13.46,1084.56,11.12,7.61
"arkansas,johnson",23769.28,2172.87,2045.76,13129.96,4019.38,2167.71,12190.39,834.79,1527.02,805.59,1276.24,321.21,156.31,891.48,8.59,587.45,25.77,1.72
"arkansas,lafayette",21348.79,2821.09,2649.54,13533.6,3659.79,2744.84,11722.77,1334.3,1639.28,1410.55,1601.16,343.11,114.37,743.39,19.06,953.07,0,0
"arkansas,lawrence",25278.36,2088.44,2053.24,14243.64,4382.21,2328.97,12037.87,850.63,1513.53,956.23,1143.95,346.12,134.93,809.57,17.6,592.51,17.6,5.87
"arkansas,lee",15109.53,3628.93,3153.87,12773.82,3101.08,2889.95,13684.35,1860.65,2058.59,633.41,1834.26,290.31,39.59,1359.2,0,1174.45,13.2,0
"arkansas,lincoln",26692.58,2464.26,2400.53,13043.57,3218.41,2952.86,11216.62,1189.64,1784.46,690.42,1550.78,276.17,106.22,1136.53,31.86,1104.67,0,0
"arkansas,little river",21973.73,2882.41,3267.45,12262.29,3524.14,2871.72,13866.61,1026.76,2219.3,695.2,1604.31,497.34,149.74,1096.28,10.7,951.89,16.04,21.39
"arkansas,logan",19310,2986.24,2082.27,12266.33,3717.78,2197.23,11733.35,1180.91,1442.18,815.14,1029.38,318.74,117.57,1031.99,2.61,692.35,20.9,13.06
"arkansas,lonoke",20990.85,2608.6,2073.5,12610,4245.58,2802.22,11105.62,968.1,1478.56,1078.41,1376.47,327.39,144.34,1046.73,5.87,928.21,11.73,11.73
"arkansas,madison",23818.71,2069.67,2315.22,15189.25,3893.78,2630.93,10856.98,876.98,2069.67,876.98,964.67,438.49,228.01,876.98,35.08,648.96,35.08,0
"arkansas,marion",19503.13,2234.73,2205.71,12755.4,3990.6,2336.31,11812.17,856.16,1639.77,827.14,1262.48,333.76,72.56,972.25,0,522.4,14.51,0
"arkansas,miller",20070.69,2776.25,3118.71,11774.92,3585.32,3219.47,14078.57,920.62,1915.01,590.16,1364.43,322.67,115.75,990.19,11.99,1079.55,16.79,9.6
"arkansas,mississippi",23200.84,2684.08,2526.33,12884.03,4131.86,2921.28,13595.66,1101.91,1779.65,823.8,1468.82,384.44,136.72,910.27,21.03,674.23,24.54,8.18
"arkansas,monroe",20245.47,1986.99,3150.1,11328.25,3961.86,2968.37,13412.17,763.29,1841.6,690.6,1405.43,387.7,157.5,714.83,12.12,1223.69,24.23,12.12
"arkansas,montgomery",26020.91,2074.64,1898.82,13233.16,4102.4,2238.74,12213.42,1078.34,1488.58,1043.18,1078.34,246.14,152.38,808.76,23.44,925.97,0,23.44
"arkansas,nevada",19853.27,2850.74,3035.13,12082.28,3758.12,2654.22,13351.16,1128.16,1659.49,611.39,1448.42,351.79,128.59,982.6,0,1072.36,12.13,4.85
"arkansas,newton",19779.38,3450.52,1113.95,12334.94,5298.05,2716.95,7172.74,1086.78,1439.98,950.93,1249.8,271.69,81.51,1005.27,0,787.91,0,0
"arkansas,ouachita",17634.5,2612.89,3684.27,13235.15,3929.22,2751.45,13433.1,987.25,2090.8,626,1388.1,284.55,148.46,814.05,14.85,724.98,14.85,12.37
"arkansas,perry",25553.38,2239.72,2543.65,10319.55,2955.12,1865.65,15327.35,883.73,2548.32,626.56,1131.55,402.12,107.54,935.16,4.68,1327.93,14.03,4.68
"arkansas,phillips",20262.16,3357.92,2866.51,11961.56,3304.68,3108.12,12960.74,1445.54,2268.64,573.3,1625.72,245.7,135.14,1752.67,12.29,1203.94,16.38,16.38
"arkansas,pike",23473.41,2347.34,2271.09,12825.96,3757.92,2064.14,12880.42,991.22,1470.49,566.41,1258.09,337.67,92.59,735.25,5.45,441.15,10.89,5.45
"arkansas,poinsett",23759.94,2279,2225.12,13651.82,4443.9,2925.62,12190.6,805.1,1717.97,922.38,1407.34,456.43,136.3,900.19,6.34,583.22,15.85,15.85
"arkansas,polk",22573.62,2964.78,2486.04,13365.8,3849.35,2755.78,12281.95,1040.1,2089.93,857.84,1511.55,388.82,157.96,1176.19,9.72,636.7,19.44,21.87
"arkansas,pope",22291.98,2548.6,2132.13,13101.31,4179.39,2774.91,12033.15,922.52,1432.77,793.65,1281.89,319.56,133.59,897.9,11.53,510.77,15.72,11
"arkansas,prairie",23549.13,3263.03,3092.15,12091.92,4239.49,2791.07,13694.95,1293.82,1855.29,797.45,1236.86,252.25,81.37,1131.07,8.14,447.55,24.41,0
"arkansas,pulaski",18426.07,2730.17,2704.84,11545.74,3746.36,3070.35,10632.27,1057.32,1739.71,787.04,1298.12,248.7,122.88,1066.24,11.35,876.29,15.3,10.54
"arkansas,randolph",21846.75,2173.77,1846.75,14844.5,4674.57,2372.55,10028.85,775.89,1301.7,763.07,1269.64,397.56,96.19,807.95,6.41,288.55,6.41,25.65
"arkansas,saline",21541.68,2996.82,2123.53,12519.67,4461.07,2843.64,10693.5,1006.2,1563.36,943.12,1426.7,265.82,138.92,1168.39,9.01,627,22.53,15.77
"arkansas,scott",24408.89,2728.77,2821.63,13458.1,4128.87,2300.16,13250.95,971.5,1850.13,821.49,1207.23,342.88,64.29,835.77,14.29,1021.5,14.29,0
"arkansas,searcy",22303.85,1570.69,2102.31,13532.13,4518.76,1909,10704.88,749.1,1280.72,724.93,1184.06,362.47,169.15,749.1,0,241.65,96.66,24.16
"arkansas,sebastian",20085.84,2616.41,2158.22,12478.45,3787.69,2467.15,11395.09,970.35,1609.03,796.03,1162.8,287.33,110.3,998.12,10.41,636.75,12.73,8.48
"arkansas,sevier",22380.79,2466.28,2457.5,13239.77,3734.52,2545.27,12792.16,904.01,1829.96,653.87,1154.15,386.18,171.15,983,17.55,1026.88,17.55,17.55
"arkansas,sharp",22467.56,2198.76,2129.08,12689.29,4033.63,2090.37,11001.52,936.79,1734.23,727.76,1076.15,301.94,123.87,1068.41,23.23,309.68,15.48,0
"arkansas,st francis",17265.45,3121.39,3786.02,12082.1,3288.48,3665.97,11411.29,1081.72,2532.27,669.58,1340.39,248.77,89.11,1237.67,11.14,695.57,8.66,8.66
"arkansas,stone",14925.02,2039.3,1587.17,9697.26,3390.98,1987.49,7723.9,673.49,1191.55,824.2,1012.58,207.23,75.36,960.78,0,372.07,14.13,0
"arkansas,union",19793.68,2865.61,3418.57,13091.22,3747.33,3598.37,13717.9,1066.05,2095.98,731.26,1601.7,315.98,130.91,983.29,12.79,958.46,9.03,17.3
"arkansas,van buren",23065.56,3040.11,1323.64,11306.48,4491.85,2151.99,10845.34,1289.48,1118.69,1306.56,1075.99,298.89,162.25,1485.9,0,324.51,8.54,0
